Altbach;de:08116:1800
Mettingen;de:08116:1801
Zell;de:08116:1803
Goldberg;de:08115:3212
Plochingen;de:08116:7802
Wernau (N);de:08116:4241
Wendlingen (N);de:08116:4257
Herrenberg;de:08115:4512
Ehningen;de:08115:5773
Gärtringen;de:08115:5774
Nufringen;de:08115:5775
Rohr;de:08111:6001
Vaihingen;de:08111:6002
Universität;de:08111:6008
Österfeld;de:08111:6027
Schwabstraße;de:08111:6052
Stadtmitte;de:08111:6056
Neckarpark;de:08111:6080
Untertürkheim;de:08111:6085
Obertürkheim;de:08111:6091
Hauptbahnhof (tief);de:08111:6118
Feuersee;de:08111:6221
Bad Cannstatt;de:08111:6333
Böblingen;de:08115:7100
Hulb;de:08115:7115
Esslingen (N);de:08116:7800
Nürnberger Straße;de:08111:34
Leinfelden;de:08116:175
Sommerrain;de:08111:1300
Stetten-Beinstein;de:08119:1701
Geradstetten;de:08119:1702
Grunbach;de:08119:1703
Winterbach;de:08119:1705
Flughafen/Messe;de:08116:2103
Oberaichen;de:08116:2105
Beutelsbach;de:08119:3711
Fellbach;de:08119:6500
Echterdingen;de:08116:7003
Waiblingen;de:08119:7604
Rommelshausen;de:08119:7701
Schorndorf;de:08119:7703
Endersbach;de:08119:7704
Bernhausen Bahnhof;de:08116:2006
Nellmersbach;de:08119:1601
Neustadt-Hohenacker;de:08119:1602
Schwaikheim;de:08119:1603
Backnang;de:08119:7600
Maubach;de:08119:7601
Waiblingen;de:08119:7604
Winnenden;de:08119:7605
Feuerbach;de:08111:6157
Nordbahnhof;de:08111:6295
Zuffenhausen;de:08111:6465
Ludwigsburg;de:08118:7402
Burgstall (M);de:08119:7500
Kirchberg (M);de:08119:7502
Marbach (N);de:08118:7503
Kornwestheim;de:08118:1402
Freiberg (N);de:08118:1503
Bietigheim;de:08118:1400
Asperg;de:08118:7400
Tamm;de:08118:7404
Höfingen;de:08115:1003
Rutesheim;de:08115:1302
Weil der Stadt;de:08115:1303
Neuwirtsh. (Porschep.);de:08111:1403
Weilimdorf Bf;de:08111:2270
Ditzingen;de:08118:7000
Leonberg;de:08115:7301
Renningen;de:08115:7302
Korntal;de:08118:7603
